,customer_id,account_id,loan_amount,loan_type,repayment_status,risk_level,interst_rate
43,15755196,408-3478480-0881162,26244.0,business,default,medium,13
44,15684171,402-7595162-9129931,41839.0,personal,default,high,17
45,15754849,171-6876154-6233146,46692.0,personal,default,high,17
46,15602280,408-3917043-5314763,27612.0,home,default,low,5
47,15771573,408-9281152-6213100,34500.0,home,paid,medium,9
48,15766205,403-3496411-3082707,16392.0,personal,paid,low,7
49,15771873,171-9208368-0157156,30846.0,personal,paid,low,5
50,15616550,408-2137113-0982751,43995.0,business,paid,high,19
51,15768193,402-3628566-9688333,4291.0,personal,paid,high,16
52,15683553,408-7138000-9728362,30004.0,personal,paid,medium,9
53,15702298,402-1752649-2274748,17986.0,personal,default,low,6
54,15569590,402-7944191-1869101,6077.0,business,default,medium,14
55,15760861,407-4063876-9566742,47295.0,personal,paid,low,7
56,15630053,403-0752752-4656334,39278.0,home,default,low,6
57,15647091,406-8879861-2081117,36272.0,home,paid,high,24
58,15623944,406-8089333-7941903,23028.0,personal,paid,low,7
59,15804771,171-3072652-6805159,43123.0,business,pending,high,21
60,15651280,171-2592464-6846743,23118.0,business,pending,medium,11
61,15773469,404-2262140-4696366,23935.0,business,default,medium,10
62,15702014,404-2262140-4696366,16633.0,business,pending,high,23
63,15751208,405-3594372-1614709,40707.0,business,paid,medium,14
64,15592461,407-2974257-4781134,21444.0,business,paid,medium,14
65,15789484,171-4137548-0481151,7678.0,home,default,medium,11
66,15696061,405-4461562-9113959,34158.0,home,default,low,5
67,15641582,404-4535078-5241919,29540.0,personal,pending,low,6
68,15638424,405-8387725-2971512,22122.0,business,default,medium,14
69,15755648,405-6480932-8759528,23046.0,home,paid,medium,13
70,15703793,405-9966506-3155561,34857.0,business,paid,medium,11
71,15620344,408-7029737-8028367,30371.0,personal,default,low,7
72,15812518,407-2189901-7515567,37272.0,personal,pending,medium,13
73,15779052,402-2105657-2899562,17475.0,home,pending,low,6
74,15770811,406-1326801-8886709,19120.0,personal,pending,low,7
75,15780961,408-7760667-5809130,12759.0,business,default,low,5
76,15614049,405-8457623-9269955,7723.0,business,pending,low,6
77,15662085,408-6820155-3521913,8476.0,business,default,low,7
78,15575185,403-6190683-2687538,6582.0,home,paid,high,18
79,15803136,408-4069830-3819562,30014.0,business,pending,low,7
80,15706021,408-4069830-3819562,41993.0,personal,pending,medium,9
81,15663706,408-4069830-3819562,20087.0,business,pending,low,7
82,15641732,171-7367545-7081126,41963.0,home,paid,high,20
83,15701164,404-6522553-9345930,10321.0,home,paid,medium,9
84,15738751,403-9950518-0349133,46857.0,business,paid,low,6
85,15805254,407-6599093-6553153,40564.0,home,paid,low,5
86,15762418,403-3763475-2237125,12481.0,business,default,low,5
87,15625759,405-1492294-0323520,31802.0,home,paid,high,17
88,15622897,403-1162895-2484367,19888.0,personal,pending,medium,13
89,15767954,171-6833843-5473114,34724.0,business,default,low,7
90,15757535,403-1477057-8253913,41986.0,home,paid,medium,14
91,15731511,408-2114413-6089906,2891.0,business,default,low,7
92,15809248,405-1879750-2639521,31241.0,home,pending,high,17
93,15640635,406-5727754-5302723,32621.0,personal,default,low,7
94,15676966,405-0901744-8270705,23274.0,business,default,medium,14
95,15699461,405-9112089-3379536,23618.0,home,paid,medium,11
96,15738721,408-6357132-2310703,16306.0,home,default,low,7
97,15693683,406-5334922-9670748,3426.0,home,pending,low,5
98,15604348,402-8519791-3706738,48346.0,home,default,high,24
99,15633059,408-1830318-0357940,41845.0,personal,pending,high,19
100,15808582,406-5103760-7326749,41465.0,personal,pending,medium,12
101,15743192,402-7841951-1872363,42533.0,home,paid,medium,13
102,15580146,408-7698765-2294756,25565.0,business,default,low,6
103,15776605,404-1856281-9996319,41613.0,personal,pending,medium,9
104,15804919,406-5406738-7113145,5840.0,home,pending,low,7
105,15613854,405-5257740-5301158,14055.0,home,paid,low,6
106,15599195,405-5257740-5301158,44137.0,business,default,high,16
107,15812878,405-2072502-4089911,40784.0,personal,default,low,5
108,15602312,405-0882561-5952340,21246.0,business,default,low,5
109,15744689,403-7266170-1163500,14159.0,business,pending,low,6
110,15803526,405-8114272-1687512,20342.0,home,paid,medium,11
111,15665790,171-6138639-1478731,37524.0,home,pending,medium,11
112,15715951,405-4059216-4541150,42847.0,personal,default,medium,9
113,15591100,405-1152015-7333945,42641.0,personal,pending,medium,10
114,15609618,406-0177436-6731556,33284.0,business,default,low,7
115,15675522,406-0715107-8168308,39491.0,business,paid,high,24
116,15705512,403-0104882-7373900,46238.0,home,pending,high,24
117,15698028,403-0104882-7373900,4968.0,business,pending,medium,9
118,15661670,403-0104882-7373900,4314.0,personal,default,medium,9
119,15600781,405-3002282-6797102,16269.0,home,default,low,5
120,15682472,407-8466904-3461908,36403.0,business,paid,low,6
121,15580203,171-3305587-5364338,39591.0,personal,pending,low,7
122,15690673,406-8961316-8137943,30378.0,business,pending,low,5
123,15760085,406-8961316-8137943,31018.0,personal,paid,medium,10
124,15779659,171-2813040-8296320,6294.0,personal,pending,low,6
125,15627360,408-9845791-1393151,30734.0,home,paid,high,16
126,15671137,402-4277204-2348328,28119.0,personal,default,low,5
127,15782688,171-3049339-2085136,11003.0,home,paid,high,22
128,15575492,405-9928526-2470747,39434.0,business,default,high,23
129,15591607,405-4908072-0260360,40348.0,home,paid,medium,13
130,15740404,406-3984186-5973150,37455.0,personal,pending,low,7
131,15718369,171-8635309-7508346,40911.0,home,paid,high,22
132,15677871,171-0293372-4913973,38114.0,business,default,low,6
133,15642004,402-8288606-4313118,30730.0,home,default,medium,13
134,15712543,402-8746990-6412346,18832.0,home,paid,medium,13
135,15584518,402-0294212-5431551,23621.0,business,pending,medium,11
136,15802381,406-1530134-2105912,1503.0,personal,default,medium,14
137,15610156,403-5222550-4437140,33596.0,personal,default,high,19
138,15594408,408-1482435-5202714,2228.0,personal,pending,medium,10
139,15640905,403-6442534-2769112,8548.0,business,default,low,6
140,15698932,408-3113070-0750756,29620.0,home,default,medium,10
141,15724944,404-7796841-1880317,22827.0,personal,pending,medium,12
142,15628145,405-2142542-0941949,16484.0,business,pending,medium,14
143,15713483,405-0286717-7761132,37944.0,personal,paid,high,21
144,15612350,406-9021273-9221106,29820.0,personal,pending,medium,14
145,15800703,404-5381335-4577925,30616.0,personal,paid,medium,9
146,15705707,171-0131752-2560336,39032.0,business,paid,high,24
147,15754105,407-4235449-1353916,10886.0,home,paid,low,7
148,15703264,171-8061614-5688327,47374.0,business,default,high,17
149,15794413,407-8248783-4261958,42345.0,home,default,high,20
150,15650237,404-6513062-3876305,6341.0,business,default,high,18
151,15759618,406-7779874-9136347,37629.0,business,paid,low,7
152,15811589,406-9638549-1733961,2194.0,personal,pending,low,7
153,15689044,407-8801185-0134713,6057.0,business,pending,high,20
154,15709368,171-3625443-6505905,11109.0,business,pending,medium,9
155,15679145,402-8078642-8565124,24874.0,home,pending,low,7
156,15655007,402-2820441-9623566,31737.0,business,default,medium,13
157,15623595,171-4312987-5366767,35567.0,personal,pending,medium,13
158,15589975,403-5189998-9343503,25327.0,home,default,medium,11
159,15804017,407-9863928-5979501,30446.0,business,paid,medium,12
160,15692132,171-4644162-9093116,2747.0,personal,pending,high,21
161,15641122,406-0974406-3179521,47838.0,home,default,low,5
162,15630910,402-0048138-1845122,30399.0,personal,default,low,7
163,15680772,407-6283946-7749133,28738.0,business,pending,high,20
164,15658929,407-0542879-1795554,5116.0,home,paid,low,5
165,15585388,406-0218328-1773963,1102.0,home,default,medium,14
166,15724623,407-3742007-3242711,36656.0,business,paid,medium,14
167,15588537,407-3742007-3242711,17623.0,personal,pending,high,22
168,15574692,405-3067317-3360344,3905.0,business,pending,low,6
169,15611325,406-5648244-8317954,9837.0,business,paid,medium,10
170,15587562,171-3460653-0171519,21682.0,personal,paid,low,6
171,15613172,404-5337874-2284337,24394.0,home,pending,low,7
172,15651022,405-2660443-4165145,26339.0,personal,pending,low,5
173,15586310,402-3329522-2367566,29220.0,home,default,low,5
174,15625524,406-3078054-1755513,40493.0,business,default,high,17
175,15755209,171-4647176-6456305,42908.0,business,pending,low,6
176,15645248,408-5011528-8276347,3280.0,business,default,high,21
177,15790355,407-4097885-3129958,45503.0,business,pending,high,23
178,15762615,171-1224053-5752314,43569.0,home,default,low,7
179,15625426,406-2849582-6531553,18155.0,home,pending,medium,12
180,15716334,407-5875767-6399551,30625.0,business,pending,low,5
181,15789669,171-6336729-6763536,20657.0,home,pending,low,7
182,15621075,404-3907920-5281963,10101.0,home,default,high,16
183,15810845,408-7310428-6047538,41104.0,business,pending,medium,9
184,15719377,403-2608092-6065935,9213.0,home,pending,low,6
185,15654506,404-9760385-9109154,9456.0,personal,paid,medium,10
186,15771977,405-0732969-3941948,47486.0,business,default,high,17
187,15708710,402-2720308-2560327,9203.0,business,default,high,20
188,15726676,402-0589123-6183541,12219.0,personal,paid,high,22
189,15587421,408-3874942-9917143,43038.0,home,paid,medium,12
190,15726931,402-1706149-0949104,43068.0,business,paid,low,5
191,15771086,407-1672316-3245939,32735.0,business,default,high,19
192,15756850,405-1832646-7988329,9569.0,business,default,medium,14
193,15702741,408-9692204-9817146,4316.0,business,default,medium,9
194,15679200,402-9339129-6219537,13440.0,personal,default,high,17
195,15594815,405-3036350-8089120,39230.0,home,pending,low,7
196,15635905,404-6680046-0839536,29241.0,business,default,high,20
197,15777892,406-2966654-4672325,24758.0,home,pending,low,6
198,15656176,403-4845285-4565113,7336.0,home,default,medium,9
199,15811127,171-4496851-5319548,27305.0,personal,default,medium,14
200,15604482,408-3416118-1167564,10160.0,personal,pending,medium,12
201,15622911,406-1590113-9193914,35887.0,business,paid,low,5
202,15600974,404-0363929-8015528,39253.0,business,pending,high,19
203,15727868,407-7173744-5333154,48277.0,business,paid,high,20
204,15627801,405-6880044-2861120,38523.0,business,paid,low,7
205,15773039,403-4337144-0984323,41073.0,business,pending,medium,10
206,15755262,171-1851948-5476361,44399.0,home,paid,high,20
207,15679531,171-5810429-4493110,13600.0,business,paid,medium,13
208,15684181,171-1068229-1581965,21777.0,business,paid,low,7
209,15612087,402-2105140-3584364,26856.0,personal,pending,high,17
210,15752047,403-3561336-3563535,29991.0,business,pending,medium,13
211,15624592,402-9532672-5385917,8158.0,home,paid,low,5
212,15573152,408-4547464-4180323,28086.0,home,default,medium,14
213,15594917,402-2211107-5096323,43787.0,business,pending,medium,11
214,15785542,403-9412025-7537140,43749.0,business,paid,low,5
215,15723488,403-5456917-5571511,27017.0,personal,default,medium,13
216,15680920,171-8452330-4756317,38221.0,business,pending,medium,13
217,15786308,171-4350114-4299568,31672.0,home,pending,medium,9
218,15659366,405-8692900-3888310,49274.0,home,default,medium,10
219,15774854,402-6750101-3923558,29029.0,business,pending,medium,10
220,15725311,403-5725327-6264327,1447.0,personal,pending,medium,10
221,15787155,403-5209693-1173944,18141.0,business,pending,medium,11
222,15727829,403-8255889-7526765,46238.0,personal,pending,medium,11
223,15733247,407-3554912-7244363,11039.0,business,pending,medium,14
224,15568748,407-4737202-9096304,45586.0,personal,pending,medium,12
225,15699029,171-2842936-5423534,5047.0,personal,paid,medium,14
226,15774393,407-4936046-5852304,8617.0,home,pending,high,17
227,15676895,407-4936046-5852304,34636.0,business,pending,medium,10
228,15637753,402-9580874-3525948,1197.0,home,paid,low,6
229,15605461,404-7426070-1355530,3079.0,home,default,high,17
230,15808473,406-4878137-1126707,25739.0,business,default,low,5
231,15627000,171-3505516-3505949,12696.0,business,paid,high,22
232,15787174,406-6199849-7523514,45138.0,personal,default,low,6
233,15723886,406-6180074-2350757,48515.0,business,default,medium,10
234,15704769,406-6180074-2350757,30257.0,personal,pending,low,6
235,15772896,406-2403215-8361103,4699.0,business,default,high,23
236,15711540,404-6578109-5618751,20776.0,business,paid,high,19
237,15764866,407-2307966-4961113,4072.0,home,paid,medium,14
238,15794056,404-5539778-0029904,20653.0,home,paid,medium,9
239,15795149,171-6222676-0740318,31344.0,personal,default,high,18
240,15812009,403-2166075-2254703,22644.0,business,paid,low,5
241,15651001,407-5766340-7411567,5769.0,home,pending,high,24
242,15813844,404-0634392-1837110,20869.0,personal,pending,high,23
243,15596175,408-2759943-9849959,16684.0,home,default,medium,13
244,15576269,403-5977671-8855508,33589.0,personal,pending,low,5
245,15797219,408-9321153-0591557,28127.0,home,default,medium,9
246,15685500,404-0696150-3898703,20345.0,business,paid,low,7
247,15599792,406-7586136-6520337,17864.0,business,default,high,20
248,15657566,407-6146457-8788352,10172.0,home,pending,low,6
249,15772423,404-8514200-3544346,1418.0,home,paid,low,7
250,15628112,404-7452877-2137949,25458.0,business,paid,low,7
251,15753754,402-2703790-2816329,35879.0,home,pending,high,17
252,15793726,407-1515930-8661921,8013.0,personal,default,low,7
253,15694717,405-9144614-1601126,6178.0,business,pending,medium,13
254,15665834,407-0994909-4122733,43843.0,home,paid,medium,12
255,15765297,402-7042386-5486768,33758.0,personal,default,high,16
256,15636684,403-7652993-1507525,46369.0,personal,default,high,19
257,15592979,407-3847456-6656309,12754.0,home,default,low,7
258,15750803,407-3847456-6656309,37959.0,personal,default,medium,13
259,15607178,171-7623384-8040337,33819.0,personal,paid,medium,10
260,15713853,171-7623384-8040337,2941.0,home,paid,low,6
261,15673481,171-4607096-6413920,13172.0,personal,paid,medium,14
262,15686776,404-6783988-2006729,11107.0,personal,pending,medium,9
263,15673693,404-6975277-1927553,21202.0,home,paid,high,22
264,15700696,402-5586272-3646748,27741.0,home,default,medium,11
265,15813163,171-6655820-6440356,28119.0,home,paid,low,7
266,15653857,171-1584788-8864335,12108.0,business,pending,medium,12
267,15777076,402-0150402-0900371,32734.0,business,pending,high,24
268,15717398,408-6791822-5493964,8010.0,business,paid,low,5
269,15799217,405-0483874-0889137,22937.0,home,default,high,18
270,15787071,407-5600921-2143569,32392.0,business,paid,high,23
271,15619955,404-1607808-0769930,25645.0,personal,pending,high,21
272,15796505,407-5124083-2725136,45676.0,business,paid,medium,13
273,15725166,407-4766116-5412325,27813.0,home,pending,high,24
274,15800116,402-6885004-6990731,5847.0,home,default,high,18
275,15758685,402-2207276-9869933,39916.0,home,pending,low,6
276,15694456,407-9494293-9423561,22731.0,home,default,high,16
277,15767339,171-6867266-8495534,45535.0,home,pending,low,6
278,15683562,408-3475592-6193128,8606.0,personal,paid,high,20
279,15782210,171-1987024-2709164,48316.0,business,pending,high,20
280,15668893,406-1522425-5387565,49528.0,business,paid,medium,13
281,15669169,171-3270734-5045130,42271.0,personal,paid,high,17
282,15643024,408-4101226-7217932,1291.0,personal,paid,medium,12
283,15699389,171-5719664-5449151,24972.0,personal,default,medium,10
284,15708608,403-9400764-4029123,41062.0,home,default,high,20
285,15626144,406-8413944-2634744,41270.0,home,pending,low,7
286,15573112,406-8271099-5133911,34477.0,home,paid,low,7
287,15790678,406-8271099-5133911,37366.0,home,paid,medium,12
288,15727556,405-3441326-1516368,9947.0,home,pending,high,19
289,15697307,408-8009772-6580317,47539.0,personal,paid,high,18
290,15652266,402-4774686-7773937,19918.0,personal,pending,high,21
291,15607098,402-2860689-5652319,18556.0,home,pending,medium,10
292,15655774,406-6386989-1689108,28862.0,personal,paid,low,6
293,15590241,408-9720884-9553122,8693.0,home,default,low,5
294,15785819,408-6428766-2839536,14562.0,home,pending,low,6
295,15723654,408-8641795-6914711,19961.0,business,paid,low,6
296,15774510,402-9475978-1434754,19174.0,home,default,low,7
297,15684173,407-5776821-9327552,10317.0,personal,paid,high,23
298,15650068,171-6845071-0336346,34791.0,business,paid,medium,14
299,15811490,404-7491342-1035558,48902.0,personal,default,medium,14
300,15803976,171-6783343-9758701,33421.0,business,default,high,16
301,15682541,402-0043314-1059527,45731.0,business,pending,low,5
302,15695699,406-6586654-6641140,30918.0,personal,pending,high,20
303,15624188,405-6120626-0941135,43899.0,business,default,low,6
304,15812191,408-9255314-3102740,48578.0,business,pending,low,7
305,15636673,408-3436456-9893130,35042.0,home,pending,low,7
306,15594898,408-3870331-6287517,16004.0,personal,default,low,5
307,15660211,408-3870331-6287517,9725.0,personal,pending,high,20
308,15773972,407-2882576-2777135,42161.0,business,paid,medium,12
309,15746726,403-2256919-4846738,9071.0,personal,paid,medium,11
310,15712287,403-2920089-2403567,17263.0,personal,paid,high,19
311,15702919,406-7792526-4685142,34931.0,personal,pending,low,7
312,15674398,406-7680255-6117120,26289.0,business,paid,low,5
313,15797960,402-4646784-8411501,24947.0,business,default,medium,9
314,15631868,405-2788163-4515521,15138.0,personal,pending,high,17
315,15581539,405-1757140-2025918,28759.0,business,default,high,19
316,15662736,403-9105351-8453114,14316.0,home,default,medium,12
317,15666252,402-0503400-6235514,17022.0,business,paid,medium,14
318,15677512,408-3201739-2676310,1830.0,personal,pending,low,5
319,15626114,171-8027093-8553945,49033.0,business,pending,low,5
320,15810834,403-3331597-7637100,33515.0,home,pending,low,5
321,15678910,403-4424319-6635501,38611.0,personal,default,high,24
322,15694408,403-0906375-2269150,10835.0,home,default,medium,10
323,15585215,406-7261451-5682727,48204.0,business,default,high,23
324,15682757,407-5096970-7475550,27275.0,personal,default,low,7
325,15736601,402-6566640-5417947,1522.0,home,paid,low,7
326,15601848,402-5302912-6805151,13807.0,business,pending,medium,10
327,15736008,407-9707366-3029944,42677.0,personal,pending,medium,9
328,15669064,402-1365379-0131533,28513.0,personal,paid,low,6
329,15624528,408-5540360-9479519,28070.0,business,paid,high,24
330,15598493,403-2079921-1244300,39790.0,home,default,medium,14
331,15601274,402-8019936-6115500,46922.0,business,pending,low,6
332,15702669,406-6711228-7576354,11184.0,personal,default,low,5
333,15728669,171-1425554-3718756,21205.0,home,pending,high,20
334,15742668,407-9906412-0889129,22482.0,home,default,high,18
335,15697441,408-8991303-6559523,27502.0,home,pending,high,22
336,15740476,408-6046797-8945127,5041.0,home,default,high,24
337,15648064,171-2134173-5385136,5225.0,home,paid,high,23
338,15636624,171-2134173-5385136,12009.0,business,pending,low,5
339,15807923,402-2155477-9353103,15071.0,business,pending,low,5
340,15745844,407-8580022-5578715,37089.0,personal,pending,high,23
341,15786170,402-1572540-8678700,17328.0,home,default,low,5
342,15681081,171-1887627-9813158,38070.0,business,default,high,18
343,15684484,408-7712483-3825907,4839.0,business,paid,high,21
344,15785869,402-3621298-2630741,18467.0,home,paid,high,20
345,15763859,404-8745561-3169903,24252.0,home,pending,low,7
346,15658935,404-1508602-9433941,38201.0,personal,default,high,23
347,15747358,171-9371949-6030721,3487.0,personal,default,high,23
348,15735203,171-2705563-6985105,23331.0,business,paid,high,17
349,15576256,171-3537751-4007556,35491.0,business,default,high,17
350,15659420,408-5990312-3581165,22142.0,personal,pending,high,24
351,15593365,403-6062596-1220349,15630.0,business,paid,low,7
352,15777352,171-8220241-5105927,38190.0,home,paid,low,5
353,15812007,408-9405529-3743511,10217.0,personal,pending,high,22
354,15625461,402-3595365-1666728,47462.0,home,pending,low,7
355,15739438,407-3271219-3762757,17820.0,home,default,medium,11
356,15611759,402-3660716-8589107,25819.0,personal,paid,low,7
357,15661629,171-3953233-6135505,20327.0,home,paid,medium,14
358,15633950,402-5525660-2118707,36851.0,personal,pending,high,20
359,15592386,406-9941718-1734719,11295.0,home,default,medium,14
360,15803716,171-1297873-2176339,7285.0,home,default,medium,12
361,15696674,407-6401192-4057954,44386.0,personal,pending,medium,11
362,15706365,406-3397500-8084361,32035.0,business,pending,high,23
363,15745088,171-9620288-8918704,13116.0,personal,pending,high,23
364,15676715,402-8089760-1132331,18600.0,personal,pending,medium,9
365,15613085,403-7042175-3905937,39648.0,business,default,low,7
366,15633537,403-7042175-3905937,32212.0,personal,paid,high,24
367,15594720,407-4629176-4141949,12329.0,business,pending,high,16
368,15684042,171-7306449-0588335,42105.0,personal,default,medium,14
369,15583303,407-1396965-6726703,19101.0,personal,pending,medium,11
370,15611579,407-0624641-6557144,38132.0,business,paid,high,18
371,15774696,405-8444009-8723509,23535.0,business,pending,medium,9
372,15694506,406-5729580-2175565,10427.0,personal,default,high,17
373,15688074,404-2255967-5457950,18601.0,home,default,medium,9
374,15759537,408-5020509-5674715,9807.0,home,pending,high,22
375,15758449,407-7642883-3094732,29948.0,personal,pending,medium,9
376,15583456,404-7608918-0571517,5300.0,home,paid,high,23
377,15667871,171-6589781-2209965,17350.0,business,paid,low,7
378,15677371,405-9442254-2207515,27014.0,personal,paid,medium,9
379,15629677,405-3071731-6600369,39461.0,business,pending,high,19
380,15713578,404-6026001-1717923,38503.0,personal,pending,high,21
381,15591509,404-4026534-0431517,45708.0,business,pending,high,17
382,15568240,406-4970885-3273941,28774.0,home,pending,medium,10
383,15622993,406-2942566-8263534,1481.0,business,pending,low,5
384,15689294,406-7501816-7391539,5183.0,business,default,medium,10
385,15720910,408-3137526-3167563,4720.0,personal,pending,high,18
386,15721181,408-5211576-2061139,28431.0,personal,paid,medium,13
387,15776433,406-9632792-8869139,45978.0,personal,paid,high,16
388,15748936,408-7971979-8745937,20253.0,personal,paid,high,18
389,15717225,405-5166820-2566738,15565.0,personal,default,high,18
390,15685226,405-8932002-4271522,31393.0,home,default,medium,13
391,15785611,404-1855398-2642751,45610.0,home,paid,high,16
392,15573456,408-0912805-7526753,27816.0,business,paid,medium,11
393,15684548,402-2403704-9667560,42355.0,business,default,low,5
394,15620505,405-2569549-3466719,33084.0,home,default,medium,13
395,15807432,405-2822825-3877133,3472.0,business,paid,medium,14
396,15584766,171-5222377-4501935,2174.0,business,default,high,24
397,15612187,171-2644368-7969167,33986.0,personal,paid,medium,9
398,15762218,171-2644368-7969167,23140.0,home,pending,high,17
399,15646372,171-2644368-7969167,27436.0,business,pending,medium,10
400,15690452,171-2644368-7969167,47603.0,home,default,medium,11
401,15747795,171-2644368-7969167,4161.0,personal,default,medium,9
402,15781589,171-2644368-7969167,20733.0,personal,default,high,17
403,15732674,171-1758807-7455529,34527.0,personal,default,medium,9
404,15642291,404-5848202-7366725,35284.0,business,paid,low,6
405,15692761,408-8224264-0017161,16368.0,home,paid,medium,11
406,15578045,408-6529937-6381928,5918.0,personal,paid,low,7
407,15745354,407-2028379-9672355,12449.0,home,pending,high,22
408,15701376,402-9221687-4573915,1633.0,personal,paid,low,7
409,15691625,405-2668017-2013957,25420.0,business,pending,high,23
410,15566594,408-3337319-8990747,43522.0,home,pending,medium,10
411,15760431,407-1256885-2004349,38286.0,personal,pending,high,24
412,15686302,404-3723311-1030756,32989.0,personal,paid,medium,12
413,15801559,171-5542306-9306709,44898.0,business,default,high,19
414,15810432,406-3702147-1800341,23659.0,home,default,low,5
415,15809616,404-5867260-9073129,31755.0,business,default,high,19
416,15720559,404-0532727-2082745,34222.0,home,default,medium,13
417,15695632,403-8966287-7773106,6768.0,business,pending,low,5
418,15659843,408-1512444-4965152,6956.0,business,default,high,24
419,15615624,171-9451879-3651542,24812.0,business,default,high,20
420,15810418,408-8501185-0578768,8472.0,business,paid,medium,11
421,15716186,402-0251823-0845133,4000.0,home,default,medium,9
422,15674551,408-5190897-8781155,26748.0,home,default,low,6
423,15622834,403-3109934-4911514,30524.0,business,paid,high,20
424,15566111,407-0718034-7893108,39346.0,home,pending,low,5
425,15784597,404-0752237-5721965,26389.0,personal,paid,low,7
426,15652883,403-6818986-3510737,27074.0,home,pending,medium,14
427,15806964,403-4673019-6572340,46973.0,business,default,low,6
428,15576313,171-4549643-0067500,45997.0,personal,pending,medium,11
429,15806467,404-3622512-3887551,47553.0,home,default,high,18
430,15597602,406-6906315-9570765,28681.0,personal,paid,low,5
431,15743040,407-3562449-1962729,45786.0,business,paid,high,17
432,15705521,408-2593644-6317933,30661.0,business,paid,low,7
433,15595039,407-7607527-1189964,16571.0,home,pending,low,7
434,15799384,405-7398388-2654744,1849.0,home,default,high,19
435,15581197,405-5066690-4132337,48507.0,personal,pending,medium,13
436,15693737,408-6466311-6949931,25720.0,personal,paid,high,24
437,15624623,171-4643830-2345965,3617.0,home,pending,low,7
438,15783501,404-1051549-5381167,5776.0,business,default,medium,12
439,15690134,406-7625210-8793109,7025.0,home,pending,medium,11
440,15782735,406-8665288-2025908,37787.0,personal,default,low,6
441,15611088,408-6732772-4525113,25993.0,business,default,medium,10
442,15672145,171-7068385-2777168,32903.0,personal,default,high,22
443,15732628,405-9930530-1209919,1480.0,home,pending,high,23
444,15787470,407-0288006-5535531,47054.0,personal,paid,low,7
445,15803406,403-6363820-3080315,3482.0,home,paid,medium,9
446,15730460,408-7937211-8974712,26430.0,personal,pending,high,18
447,15644572,407-4283259-6933941,46933.0,home,pending,low,5
448,15694860,407-3630361-4581152,25996.0,business,paid,low,7
449,15658169,408-6348199-2089932,42552.0,business,paid,high,18
450,15794396,408-5824761-8505932,9076.0,home,default,low,6
451,15785798,406-0673842-3693910,28043.0,personal,pending,medium,12
452,15710825,405-0722232-7258752,36969.0,home,paid,high,23
453,15668444,408-0224364-7467540,22682.0,business,paid,low,6
454,15726631,408-2445040-0957913,41392.0,home,pending,high,24
455,15733797,406-8412164-3153129,21526.0,business,paid,low,7
456,15747960,407-5524319-6977912,32454.0,personal,pending,medium,11
457,15634632,407-7757868-6086759,10175.0,home,default,medium,14
